date,open,high,low,close,volume,ema9,ema15,rsi,macd,macd_signal,macd_hist,vwap,supertrend_dir,adx,bb_upper,bb_mid,bb_lower,bb_width,atr,obv,stoch_k,stoch_d,ich_tenkan,ich_kijun,ich_senkou_a,ich_senkou_b,target
2022-03-10,766.5,795.7999877929688,761.0,775.5999755859375,2236562,776.8740162317393,799.1202295320011,31.70716758666488,-62.25283554951193,-68.37415392045108,6.12131837093915,1278.6339537421293,-1.0,66.83367800779381,918.6622607611334,815.5149963378906,712.3677319146477,0.2529622750934513,37.446215722244055,-58662041.0,39.64150308785197,20.42289272302376,772.75,861.0249938964844,1045.2625122070312,1415.0,0
2022-03-11,771.0,781.0,766.5999755859375,775.0499877929688,919363,776.5092105439853,796.1114493146221,31.634671942260056,-58.628816393004286,-66.42508641496173,7.79627002195744,1277.0707534352694,-1.0,64.28158348317194,894.1074831891614,807.3499969482422,720.592510707323,0.21491914676125362,35.80005920023109,-59581404.0,43.119266055006314,32.71331641456907,772.75,856.2749938964844,1041.3125,1374.3499755859375,0
2022-03-14,675.0,719.0,661.5,674.7999877929688,15155319,756.167365993782,780.9475166244154,21.834810928539937,-63.11850148243002,-65.76376942845539,2.6452679460253705,1248.2991091648867,-1.0,64.4370956012867,888.45250617443,795.7649963378906,703.0774865013511,0.23295196512305916,41.35362552828378,-74736723.0,7.576182693129116,30.112317278662463,739.4750061035156,823.0,1032.1125030517578,1374.3499755859375,0
2022-03-15,695.0499877929688,703.3499755859375,584.5499877929688,592.4500122070312,23922506,723.4238952364319,757.3853285722423,17.138191677832154,-72.48599068490455,-67.10821367974522,-5.377777005159331,1204.014217740196,-1.0,65.30602596286056,906.9291661886201,782.2124969482422,657.4958277078644,0.318881812108441,46.88550854718984,-98659229.0,3.1287225402215335,17.94139042945232,701.0,784.5249938964844,1023.5,1374.3499755859375,1
2022-03-16,597.0,648.6500244140625,572.0,634.0499877929688,33733481,705.5491137477393,741.9684109748331,25.818690779876533,-75.68062388016006,-68.82269571982819,-6.857928160331866,1150.531566289107,-1.0,66.2028802524618,907.9684373048646,771.3399963378906,634.7115553709167,0.3542625602604048,49.0115453948236,-64925748.0,25.280091548989528,11.994998927446725,685.2749938964844,774.375,1023.5,1374.3499755859375,0
2022-03-17,633.0,637.0,590.0,597.0499877929688,16758410,683.8492885567853,723.8536080771,23.46423754847899,-80.27265132510195,-71.11268684088294,-9.159964484219003,1126.9921216976134,-1.0,67.03567352137591,908.5295799005683,758.1249969482421,607.720413995916,0.39678043477723374,48.867863580907624,-81684158.0,10.205739069929024,12.87151771971336,683.8999938964844,765.375,1025.0,1353.5,0
2022-03-21,595.0,595.0,560.0999755859375,565.7000122070312,12853207,660.2194332868345,704.0844085933414,21.66176040589363,-85.45645832927539,-73.98144113856144,-11.475017190713956,1109.169202934714,-1.0,68.03965731516865,910.6192653028836,743.9124969482422,577.2057285936007,0.4481891863317297,48.0165884827736,-94537365.0,2.1760387892762267,12.553956469398258,677.9499816894531,759.4249877929688,1025.0749969482422,1342.5,0
2022-03-22,565.75,590.4500122070312,540.3499755859375,544.0,26111441,636.9755466294675,684.0738575191738,20.488534435406578,-90.27503791510856,-77.24016049387086,-13.034877421237695,1075.3381305651078,-1.0,69.10706671221139,912.8473206540389,729.442495727539,546.0376708010392,0.5028630111371519,48.16540620693933,-120648806.0,1.3172226386430335,4.5663334992827584,668.0749816894531,737.3999938964844,1018.9999847412109,1322.5,0
2022-03-23,552.0,562.0,521.0,524.2999877929688,8888824,614.4404348621679,664.1021238033982,19.458191959514508,-94.5930139157939,-80.71073117825547,-13.882282737538432,1064.2892567264907,-1.0,70.22174674302713,916.1761098180347,715.272494506836,514.3688791956373,0.561754063952058,47.65359147787224,-129537630.0,1.1131683781692783,1.5354766020295105,658.3999938964844,708.4750061035156,1009.3249969482422,1300.0,1
2022-03-24,522.0,595.0,521.0999755859375,574.3499755859375,24014616,606.4223430069219,652.8831052762156,29.199735069306058,-92.90546886258073,-83.14967871512053,-9.755790147460203,1038.0359069146157,-1.0,69.05817165312585,907.638618485815,703.1949920654297,498.7513656450445,0.5814706553010646,49.52833668760012,-105523014.0,19.221753893829504,7.217381636880603,651.0,702.7250061035156,994.75,1279.0,0
