date,close,high,low,open,volume
2021-03-01,27145.1328125,27268.137788790857,26061.119168264842,26061.119168264842,58805
2021-03-02,27097.90625,27236.292086591042,26726.886014933854,27148.11704026755,39347
2021-03-03,27133.66796875,27588.554031741623,26992.09802366973,27192.69626765025,40649
2021-03-04,28095.119140625,28265.00346094196,26780.773134733292,26893.391507897984,83170
2021-03-05,27283.908203125,28308.943190805665,27178.440660159056,27726.645322682645,65557
2021-03-08,26633.814453125,27909.314053997696,26543.825381832114,27334.266513664377,57156
2021-03-09,26759.318359375,27412.646179120595,26601.28829344141,26888.4944383833,59204
2021-03-10,26997.046875,27132.296462319755,26746.433011992,26980.489176621682,29812
2021-03-12,27139.791015625,27412.643814132356,26982.54550696995,27312.712089005785,43864
2021-03-15,27083.998046875,27285.281340764916,26457.51312305844,27247.562011083784,32587
2021-03-16,26874.580078125,27381.536859174044,26796.495025378776,27329.366621762005,38175
2021-03-17,26297.916015625,26991.364616815026,26169.279553059394,26874.875186817164,38409
2021-03-18,26056.216796875,26716.99005032889,25913.667134565763,26574.98000094882,38464
2021-03-19,26390.49609375,26568.36551808022,25570.76286345519,25918.564427306785,74153
2021-03-22,26407.9375,26662.322900859806,26078.2607866961,26354.542608840824,45373
2021-03-23,27738.10546875,27922.098165226096,26404.50763687749,26404.50763687749,123156
2021-03-24,27239.529296875,27814.9691346826,27157.82002783265,27600.752349126713,63069
2021-03-25,27021.095703125,27569.348166002168,26712.090768068476,27334.264459828628,64357
2021-03-26,27546.080078125,27745.698588872183,27111.91747133388,27246.774777348244,74139
2021-03-30,28504.49609375,28901.823452417026,27727.920324242907,27922.100623521535,94570
2021-03-31,28867.92578125,29058.579463400034,28172.91001515615,28504.4964452766,82764
2021-04-01,29344.607421875,29665.51638897797,28848.32998788303,28970.40306550896,52771
2021-04-05,29742.673828125,30007.34636204576,29048.78505855595,29293.715792607858,124392
2021-04-06,29503.470703125,29881.546123503325,29401.824460163905,29759.08077053815,52886
2021-04-07,29617.66015625,29960.611005653987,29345.639713238575,29528.847893600327,40554
2021-04-08,30942.2421875,31398.155802635163,29646.411463671368,29646.411463671368,148094
2021-04-09,31104.9765625,31341.334705598645,30488.975806134098,31039.972332584162,146698
2021-04-12,29275.146484375,30858.72103571265,29154.44348834949,30567.35109481618,114698
2021-04-13,29740.517578125,30077.39490862957,29499.455997433583,29587.6310568746,91665
2021-04-15,29690.890625,30269.564258069222,28915.537647122892,29978.536845710965,72414
2021-04-16,30196.134765625,30360.43543141794,29446.696556379262,29822.762779885914,58345
2021-04-19,29448.263671875,29872.043544211603,28957.9621506988,29392.714153240395,52945
2021-04-20,28726.158203125,30034.18767457392,28461.927723242126,29803.168267564815,72618
2021-04-22,27943.60546875,28607.907314802374,27513.899408020254,28607.907314802374,83043
2021-04-23,27536.384765625,28091.935452770686,27359.739972534517,27921.121158678692,70968
2021-04-26,27493.5703125,27867.3843346543,27384.283375722156,27676.191036070235,40346
2021-04-27,27528.79296875,27750.650448498163,27397.950213318665,27614.17428653271,31369
